0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2;0.030728709394205442,0.023412350014632717,0.01785191688615745,0.01990049751243781,0.018729880011706175,0.0260462393912789,0.018437225636523266,0.016095990635059995,0.018437225636523266,0.02633889376646181,0.016681299385425813,0.016095990635059995,0.0,0.02838747439274217,0.018437225636523266,0.0260462393912789,0.0,0.0,0.023412350014632717,0.020778460637986537,0.014632718759145449,0.0260462393912789,0.02253438688908399,0.035996488147497806,0.018437225636523266,0.0,0.016681299385425813,0.0,0.02253438688908399,0.033947907521217444,0.03541117939713199,0.05940883816213052,0.0,0.033655253146034535,0.02048580626280363,0.02399765876499854,0.033655253146034535,0.04331284752707053,0.04302019315188762,0.0,0.0,0.021363769388352355,0.0228270412642669,0.02838747439274217,0.03160667251975417,0.026924202516827627,0.019315188762071993,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2;0.03126809496236248,0.01592356687898089,0.027793862188766647,0.02576722640416908,0.027504342790966994,0.021424435437174292,0.022003474232773594,0.021713954834973945,0.01823972206137811,0.029530978575564564,0.019687319050376375,0.02374059061957151,0.0,0.021424435437174292,0.028662420382165606,0.0390851187029531,0.0,0.0,0.021713954834973945,0.012449334105385061,0.028662420382165606,0.03242617255356109,0.01563404748118124,0.01563404748118124,0.014765489287782282,0.0,0.031557614360162134,0.0,0.027793862188766647,0.03792704111175449,0.01823972206137811,0.0,0.0,0.0225825130283729,0.026346265199768383,0.023451071221771858,0.03242617255356109,0.026635784597568036,0.06427330631152287,0.0,0.0,0.031557614360162134,0.022872032426172553,0.03126809496236248,0.025477707006369428,0.03387376954255935,0.028662420382165606,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2;0.03055100927441353,0.0231860338243317,0.033006001091107476,0.0231860338243317,0.01718494271685761,0.018276050190943808,0.03218767048554282,0.029187124931805784,0.024277141298417893,0.02591380250954719,0.027004909983633387,0.03055100927441353,0.0,0.022640480087288598,0.02645935624659029,0.02591380250954719,0.0,0.0,0.018276050190943808,0.01773049645390071,0.018276050190943808,0.024277141298417893,0.031642116748499725,0.02591380250954719,0.016639388979814512,0.0,0.018276050190943808,0.0,0.029459901800327332,0.03409710856519367,0.09056192034915439,0.0,0.0,0.02182214948172395,0.019912711402073104,0.03000545553737043,0.02236770321876705,0.03573376977632297,0.0,0.0,0.0,0.022640480087288598,0.019912711402073104,0.01609383524277141,0.031642116748499725,0.04337152209492635,0.02182214948172395,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2;0.016422889402104183,0.034385424685655634,0.04208365409289197,0.04080061585835258,0.02514754939697203,0.01565306646138055,0.012317167051578136,0.02771362586605081,0.014113420579933282,0.028226841159866563,0.03643828586091866,0.0359250705671029,0.0,0.024377726456248396,0.014113420579933282,0.017192712342827817,0.0,0.0,0.027200410572235052,0.015396458814472672,0.019758788811906593,0.021041827046445985,0.022324865280985373,0.01924557351809084,0.016422889402104183,0.0,0.016166281755196306,0.0,0.030279702335129586,0.033102386451116246,0.0,0.0,0.0,0.01796253528355145,0.03002309468822171,0.03002309468822171,0.01924557351809084,0.11906594816525533,0.0,0.0,0.0,0.019758788811906593,0.01796253528355145,0.037464716448550164,0.03874775468308956,0.037721324095458045,0.02617397998460354,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,2,2;0.025049878075814675,0.027710042119264023,0.025049878075814675,0.03524717357570384,0.023054755043227664,0.026158279760585237,0.020837951673686544,0.02881844380403458,0.021946353358457106,0.023054755043227664,0.027710042119264023,0.03236532919530038,0.0,0.02970516515185103,0.019729549988915983,0.02460651740190645,0.0,0.0,0.02128131234759477,0.017512746619374863,0.02970516515185103,0.02460651740190645,0.02349811571713589,0.02128131234759477,0.019064508978053646,0.0,0.02238971403236533,0.0,0.026158279760585237,0.07005098647749945,0.0,0.0,0.0,0.02881844380403458,0.02128131234759477,0.03524717357570384,0.054311682553757484,0.0,0.0,0.0,0.0,0.017512746619374863,0.042119264021281314,0.038350698293061404,0.02859676346708047,0.02128131234759477,0.045887829749501216,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,2,2;0.017054263565891473,0.016389811738648948,0.03676633444075304,0.021705426356589147,0.01727574750830565,0.016389811738648948,0.023920265780730896,0.023034330011074196,0.019269102990033222,0.022591362126245847,0.035880398671096346,0.02524916943521595,0.0,0.025692137320044297,0.01727574750830565,0.010852713178294573,0.0,0.0,0.017054263565891473,0.013953488372093023,0.019933554817275746,0.028128460686600222,0.016168327796234772,0.017718715393133997,0.024806201550387597,0.0,0.019712070874861574,0.0,0.0363233665559247,0.0,0.0,0.0,0.0,0.017718715393133997,0.026578073089700997,0.03388704318936877,0.24230343300110743,0.0,0.0,0.0,0.0,0.02724252491694352,0.03034330011074197,0.03433001107419712,0.024806201550387597,0.016832779623477297,0.022812846068660023,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,0,0,0,2,2;0.02133595929755457,0.02248481864434597,0.034301657639914655,0.024782537337928772,0.03627113080584277,0.026916133267684227,0.026423764976202198,0.02248481864434597,0.025767273920892828,0.03069095683571311,0.0241260462826194,0.033645166584605285,0.0,0.03003446578040374,0.027408501559166257,0.028557360905957656,0.0,0.0,0.022977186935828,0.029049729197439686,0.0241260462826194,0.0241260462826194,0.024782537337928772,0.0241260462826194,0.02248481864434597,0.0,0.0206794682422452,0.0,0.10274085015591662,0.0,0.0,0.0,0.0,0.0241260462826194,0.024782537337928772,0.07122927950106679,0.0,0.0,0.0,0.0,0.0,0.0241260462826194,0.025767273920892828,0.04267191859510914,0.029542097488921712,0.01887411784014443,0.028557360905957656,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,0,0,0,2,2;0.025244444444444444,0.019911111111111112,0.022577777777777776,0.024355555555555554,0.0224,0.023822222222222224,0.009066666666666667,0.018844444444444445,0.01742222222222222,0.021333333333333333,0.015822222222222224,0.021155555555555556,0.0,0.0192,0.02097777777777778,0.015644444444444443,0.0,0.0,0.014577777777777778,0.007466666666666667,0.014755555555555555,0.012622222222222222,0.0176,0.024355555555555554,0.017066666666666667,0.0,0.012444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.017777777777777778,0.019733333333333332,0.4112,0.0,0.0,0.0,0.0,0.0,0.017777777777777778,0.03253333333333333,0.030044444444444443,0.012622222222222222,0.017777777777777778,0.021866666666666666,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,0,0,0,2,2;0.023515344758868077,0.03487445197289757,0.03527301713830211,0.020526106018333996,0.023116779593463532,0.0219210840972499,0.01753686727779992,0.03985651654045436,0.017935432443204464,0.023913909924272617,0.04065364687126345,0.0,0.0,0.022718214428058988,0.018333997608609008,0.020127540852929456,0.0,0.0,0.012754085292945397,0.01654045436428856,0.02849740932642487,0.018333997608609008,0.0219210840972499,0.02092467118373854,0.02730171383021124,0.0,0.025508170585890794,0.0,0.0,0.0,0.0,0.0,0.0,0.020127540852929456,0.023116779593463532,0.2983260263053009,0.0,0.0,0.0,0.0,0.0,0.018732562774013552,0.030091669988043045,0.023515344758868077,0.01654045436428856,0.018732562774013552,0.018732562774013552,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,2,2,2,2,1,0,0,0,0,0,0,2,2;0.042225859247135844,0.028150572831423894,0.03044189852700491,0.03993453355155483,0.020130932896890344,0.04304418985270049,0.02667757774140753,0.03175122749590835,0.028150572831423894,0.060556464811783964,0.05008183306055646,0.0,0.0,0.020458265139116204,0.02602291325695581,0.024877250409165302,0.0,0.0,0.024058919803600656,0.020130932896890344,0.03011456628477905,0.022422258592471357,0.016366612111292964,0.020458265139116204,0.015057283142389525,0.0,0.024549918166939442,0.0,0.0,0.0,0.0,0.0,0.0,0.024058919803600656,0.029459901800327332,0.0,0.0,0.0,0.0,0.0,0.0,0.023404255319148935,0.10540098199672668,0.09950900163666121,0.02602291325695581,0.022422258592471357,0.024058919803600656,0.0,0.0
